,frame,emotion,confidence
0,96,Neutral,0.8861824
1,102,Neutral,0.8217787
2,114,Neutral,0.29543564
3,120,Neutral,0.34756514
4,126,Neutral,0.28177062
5,132,Neutral,0.6268599
6,138,Neutral,0.5296432
7,144,Neutral,0.41361025
8,150,Surprise,0.36479068
9,180,Happy,0.7940652
10,186,Neutral,0.61523336
11,192,Neutral,0.7725981
12,204,Neutral,0.58388186
13,210,Neutral,0.83521223
14,216,Neutral,0.80922455
15,222,Neutral,0.9048445
16,228,Neutral,0.9459753
17,252,Neutral,0.73471016
18,258,Neutral,0.76705086
19,264,Neutral,0.7927204
20,288,Neutral,0.5798626
21,324,Neutral,0.7792779
22,330,Neutral,0.67585224
23,336,Neutral,0.6310181
24,342,Neutral,0.70537007
25,348,Neutral,0.7671583
26,360,Neutral,0.76658404
27,366,Neutral,0.6611668
28,372,Neutral,0.7767048
29,378,Neutral,0.8383175
30,384,Neutral,0.80127084
31,390,Neutral,0.8214362
32,396,Neutral,0.63493174
33,402,Neutral,0.6802415
34,408,Neutral,0.67695564
35,414,Neutral,0.7423543
36,420,Neutral,0.7315153
37,426,Neutral,0.7141058
38,432,Neutral,0.68892837
39,438,Neutral,0.716358
40,444,Neutral,0.67801255
41,450,Neutral,0.8057072
42,456,Neutral,0.7291164
43,462,Neutral,0.7433074
44,468,Neutral,0.7585563
45,474,Neutral,0.8218928
46,480,Neutral,0.76728815
47,486,Neutral,0.86977065
48,492,Neutral,0.8499855
49,498,Neutral,0.42750147
50,504,Neutral,0.6070871
51,510,Neutral,0.43772575
52,516,Neutral,0.38972154
53,522,Neutral,0.4303829
54,528,Neutral,0.54023063
55,534,Neutral,0.33240303
56,540,Neutral,0.4331248
57,546,Neutral,0.2767905
58,552,Angry,0.24210949
59,558,Neutral,0.30894703
60,564,Neutral,0.59839845
61,570,Neutral,0.6187204
62,576,Neutral,0.30729145
63,582,Surprise,0.28072765
64,588,Neutral,0.42386398
65,624,Neutral,0.38393912
66,636,Neutral,0.53249794
67,642,Neutral,0.59939706
68,648,Neutral,0.728036
69,654,Neutral,0.7752637
70,660,Neutral,0.77484673
71,666,Neutral,0.7547438
72,672,Neutral,0.8469564
73,678,Neutral,0.8567405
74,684,Neutral,0.75032526
75,690,Neutral,0.69474447
76,696,Neutral,0.8363396
77,702,Neutral,0.8054851
78,708,Neutral,0.81226355
79,714,Neutral,0.81386805
80,720,Neutral,0.45988885
81,726,Neutral,0.49146184
82,732,Neutral,0.64133453
83,738,Neutral,0.6828496
84,744,Neutral,0.7010351
85,750,Neutral,0.80527997
86,756,Neutral,0.7555653
87,762,Neutral,0.7546541
88,768,Neutral,0.47359297
89,774,Neutral,0.7566421
90,780,Neutral,0.8443298
91,786,Neutral,0.83225024
92,792,Neutral,0.79925483
93,798,Neutral,0.76286995
94,804,Neutral,0.72606677
95,810,Neutral,0.7631727
96,816,Neutral,0.8118679
97,822,Neutral,0.7828469
98,828,Neutral,0.8015827
99,834,Neutral,0.8002897
100,840,Neutral,0.7462999
101,846,Neutral,0.8233256
102,852,Neutral,0.80547667
103,858,Neutral,0.75723296
104,864,Neutral,0.80688614
105,870,Neutral,0.7890493
106,876,Neutral,0.8012713
107,882,Neutral,0.7673514
108,888,Neutral,0.7791129
109,894,Neutral,0.76887023
110,900,Neutral,0.7497438
111,906,Neutral,0.7550233
112,912,Neutral,0.69754803
113,918,Neutral,0.7034105
114,924,Neutral,0.75006753
115,930,Neutral,0.6527157
116,936,Neutral,0.7088783
117,942,Neutral,0.69950163
118,948,Neutral,0.71583265
119,954,Neutral,0.7120693
120,960,Neutral,0.7331005
121,966,Neutral,0.7383615
122,972,Neutral,0.7686132
123,978,Neutral,0.6957377
124,984,Neutral,0.722888
125,990,Neutral,0.72360784
126,996,Neutral,0.70759606
127,1002,Neutral,0.68198204
128,1008,Neutral,0.7062699
129,1014,Neutral,0.7092997
130,1020,Neutral,0.7174677
131,1026,Neutral,0.78974
132,1032,Neutral,0.6232381
133,1038,Neutral,0.66859835
134,1044,Neutral,0.6708112
135,1050,Neutral,0.73695195
136,1056,Neutral,0.7759553
137,1062,Neutral,0.7945737
138,1068,Neutral,0.7758054
139,1074,Neutral,0.75187474
140,1080,Neutral,0.79454166
141,1086,Neutral,0.6628757
142,1092,Neutral,0.6546879
143,1098,Neutral,0.74698746
144,1104,Neutral,0.75404024
145,1110,Neutral,0.75147444
146,1116,Neutral,0.7565459
147,1122,Neutral,0.76524866
148,1128,Neutral,0.8298984
149,1134,Neutral,0.6593976
150,1140,Neutral,0.7291785
151,1146,Neutral,0.73487353
152,1152,Neutral,0.6566469
153,1158,Neutral,0.69483685
154,1164,Neutral,0.6811271
155,1170,Neutral,0.7479202
156,1176,Neutral,0.7254369
157,1182,Neutral,0.83019626
158,1188,Neutral,0.83597934
159,1194,Neutral,0.8195985
160,1200,Neutral,0.7923321
161,1206,Neutral,0.83828187
162,1212,Neutral,0.78624254
163,1218,Neutral,0.84346586
164,1224,Neutral,0.91321486
165,1230,Neutral,0.85939837
166,1236,Neutral,0.8348491
167,1242,Neutral,0.8091354
168,1248,Neutral,0.8231859
169,1254,Neutral,0.7790883
170,1260,Neutral,0.8638411
171,1266,Neutral,0.86925656
172,1272,Neutral,0.9154313
173,1278,Neutral,0.8566891
174,1284,Neutral,0.6772347
175,1290,Neutral,0.7194158
176,1296,Neutral,0.62712073
177,1302,Neutral,0.62260777
178,1308,Neutral,0.6707417
179,1320,Neutral,0.661279
180,1326,Neutral,0.7714556
181,1332,Neutral,0.6803653
182,1344,Neutral,0.67861176
183,1350,Neutral,0.70997155
184,1356,Neutral,0.6988947
185,1362,Neutral,0.57839495
186,1368,Neutral,0.47129038
187,1374,Neutral,0.5952972
188,1380,Neutral,0.56716466
189,1386,Happy,0.93653125
190,1392,Happy,0.9902097
191,1398,Happy,0.9946878
192,1404,Happy,0.9913708
193,1410,Happy,0.9782889
194,1416,Happy,0.9726618
195,1422,Happy,0.9664007
196,1428,Happy,0.95768577
197,1434,Happy,0.97333956
198,1440,Happy,0.9844499
199,1446,Happy,0.9831992
200,1452,Happy,0.985333
201,1458,Happy,0.9859707
202,1464,Happy,0.98360175
203,1470,Happy,0.9924544
204,1476,Happy,0.99168175
205,1482,Happy,0.9885234
206,1488,Happy,0.9915964
207,1494,Happy,0.9887856
208,1500,Happy,0.98331165
209,1506,Happy,0.98529357
210,1512,Happy,0.9832213
211,1518,Happy,0.99275255
212,1524,Happy,0.98570204
213,1530,Happy,0.98102784
214,1536,Happy,0.9875547
215,1542,Happy,0.9796169
216,1548,Neutral,0.5008558
217,1554,Neutral,0.7277269
218,1560,Neutral,0.76129305
219,1566,Neutral,0.54563016
220,1572,Neutral,0.63275665
221,1578,Neutral,0.563648
222,1584,Neutral,0.49611852
223,1590,Neutral,0.4857564
224,1596,Happy,0.45483616
225,1602,Neutral,0.6901781
226,1608,Neutral,0.6166713
227,1614,Neutral,0.55782634
228,1620,Neutral,0.568404
229,1626,Neutral,0.5159261
230,1632,Happy,0.45385495
231,1638,Happy,0.6112678
232,1644,Happy,0.5980211
233,1650,Happy,0.7347604
234,1656,Happy,0.49973252
235,1662,Neutral,0.5043861
236,1668,Neutral,0.39481834
237,1674,Neutral,0.5928476
238,1680,Neutral,0.45332423
239,1686,Neutral,0.4791658
240,1692,Neutral,0.5589394
241,1698,Neutral,0.6815516
242,1704,Neutral,0.5450212
243,1710,Happy,0.44854888
244,1716,Happy,0.70056015
245,1722,Neutral,0.6914663
246,1728,Happy,0.5582175
247,1734,Happy,0.4382443
248,1740,Happy,0.5090981
249,1746,Happy,0.50814414
250,1752,Happy,0.4441568
251,1758,Neutral,0.5670458
252,1764,Neutral,0.66486907
253,1770,Neutral,0.8614913
254,1782,Neutral,0.61258084
255,1794,Neutral,0.6046535
256,1836,Happy,0.39733368
257,1848,Neutral,0.5385909
258,1854,Happy,0.80339557
259,1860,Neutral,0.6909406
260,1872,Neutral,0.80715454
261,1878,Neutral,0.8657563
262,1884,Neutral,0.8382349
263,1890,Neutral,0.86755556
264,1908,Neutral,0.8656337
265,1914,Neutral,0.7506846
266,1920,Neutral,0.8373904
267,1926,Neutral,0.838268
268,1932,Neutral,0.7399842
269,1938,Neutral,0.6869136
270,1944,Neutral,0.7164792
271,1950,Neutral,0.43525127
272,1956,Neutral,0.6076575
273,1962,Neutral,0.748082
274,1968,Neutral,0.67835367
275,1974,Neutral,0.5934084
276,1980,Neutral,0.69670033
277,1986,Neutral,0.43977106
278,1992,Neutral,0.43433863
279,1998,Neutral,0.47595987
280,2004,Happy,0.47511286
281,2010,Happy,0.35500368
282,2016,Neutral,0.6462945
283,2022,Neutral,0.554494
284,2028,Neutral,0.7549675
285,2034,Neutral,0.7883331
286,2040,Neutral,0.428235
287,2046,Neutral,0.47551686
288,2052,Happy,0.60668397
289,2058,Happy,0.4682306
290,2064,Neutral,0.42562133
291,2070,Happy,0.5815102
292,2076,Happy,0.45093885
293,2082,Happy,0.4327235
294,2088,Neutral,0.4595562
295,2094,Neutral,0.5567961
296,2100,Happy,0.48750848
297,2112,Happy,0.46073708
298,2142,Neutral,0.8296118
299,2148,Neutral,0.83022183
300,2160,Neutral,0.7832104
301,2172,Neutral,0.7934274
302,2178,Neutral,0.76802325
303,2190,Neutral,0.75840414
304,2196,Neutral,0.8081603
305,2202,Neutral,0.85936075
306,2208,Neutral,0.86266553
307,2214,Neutral,0.7657716
308,2226,Neutral,0.7838795
309,2232,Neutral,0.78928363
310,2238,Neutral,0.8228163
311,2244,Neutral,0.83182234
312,2256,Neutral,0.8431003
313,2286,Neutral,0.7167585
314,2292,Neutral,0.5707328
315,2298,Neutral,0.5871483
316,2442,Neutral,0.52862185
317,2448,Neutral,0.64860636
318,2454,Neutral,0.7969255
319,2478,Neutral,0.8558383
320,2490,Neutral,0.8754493
321,2496,Neutral,0.6827463
322,2526,Neutral,0.5039162
323,2532,Neutral,0.6331322
324,2538,Neutral,0.4856712
325,2544,Neutral,0.6017558
326,2550,Neutral,0.69709283
327,2556,Neutral,0.76861614
328,2562,Neutral,0.7799927
329,2568,Neutral,0.7123126
330,2574,Neutral,0.7515595
331,2580,Neutral,0.79086524
332,2586,Neutral,0.60505784
333,2592,Neutral,0.7818058
334,2598,Neutral,0.5589669
335,2604,Neutral,0.7286537
336,2616,Neutral,0.8949503
337,2706,Neutral,0.7469403
338,2712,Neutral,0.50532174
339,2718,Neutral,0.36744505
340,2724,Sad,0.3619473
341,2730,Fear,0.32251555
342,2736,Neutral,0.50475377
343,2742,Neutral,0.4545517
344,2748,Neutral,0.73313695
345,2754,Neutral,0.40525863
346,2766,Sad,0.35280356
347,2772,Neutral,0.4193285
348,2778,Sad,0.39135176
349,2784,Sad,0.35436094
350,2790,Neutral,0.64466447
351,2796,Neutral,0.63556385
352,2802,Neutral,0.6838628
353,2808,Neutral,0.58685714
354,2814,Neutral,0.6049822
355,2820,Neutral,0.68248314
356,2826,Neutral,0.63835555
357,2832,Neutral,0.7327199
358,2838,Neutral,0.8896787
359,2844,Neutral,0.8524983
360,2850,Neutral,0.8785657
361,2856,Neutral,0.7678695
362,2862,Neutral,0.5273774
363,2868,Neutral,0.60655653
364,2874,Neutral,0.6598257
365,2880,Neutral,0.7432264
366,2892,Happy,0.5989499
367,2898,Neutral,0.48715112
368,2904,Neutral,0.33625495
369,2910,Neutral,0.5349659
370,2916,Neutral,0.6793124
371,2922,Neutral,0.52976567
372,2928,Neutral,0.4874878
373,2934,Neutral,0.50049025
374,2940,Neutral,0.48208773
375,2946,Neutral,0.52971166
376,2952,Neutral,0.7976733
377,2958,Neutral,0.7419118
378,2964,Neutral,0.7556489
379,2970,Neutral,0.7991959
380,2976,Neutral,0.7614557
381,2982,Neutral,0.58251256
382,2988,Neutral,0.63052595
383,2994,Neutral,0.68225896
384,3000,Neutral,0.6496121
385,3006,Neutral,0.51646966
386,3012,Neutral,0.68302494
387,3018,Neutral,0.41114202
388,3024,Neutral,0.45891201
389,3030,Neutral,0.3965639
390,3036,Neutral,0.517711
391,3042,Neutral,0.54175884
392,3048,Neutral,0.6648856
393,3054,Neutral,0.67692655
394,3084,Sad,0.38404843
395,3096,Neutral,0.4495816
396,3102,Neutral,0.46092448
397,3108,Neutral,0.789802
398,3114,Neutral,0.8176671
399,3120,Neutral,0.8796374
400,3126,Neutral,0.63875353
401,3132,Neutral,0.665279
402,3138,Neutral,0.7877108
403,3144,Neutral,0.86879075
404,3150,Neutral,0.85337615
405,3156,Neutral,0.89891475
406,3162,Neutral,0.81288695
407,3168,Neutral,0.754759
408,3174,Neutral,0.6821062
409,3180,Neutral,0.843911
410,3186,Neutral,0.5975179
411,3192,Neutral,0.74513024
412,3198,Neutral,0.3494272
413,3204,Neutral,0.77327937
414,3210,Neutral,0.6338987
415,3216,Sad,0.4135392
416,3228,Neutral,0.82208997
417,3234,Neutral,0.83467466
418,3240,Neutral,0.88083655
419,3246,Neutral,0.85222507
420,3252,Neutral,0.8505859
421,3264,Neutral,0.74270225
422,3270,Neutral,0.8272858
423,3276,Neutral,0.8623201
424,3294,Neutral,0.815467
425,3300,Neutral,0.8664717
426,3306,Neutral,0.90387976
427,3312,Neutral,0.7062515
428,3318,Neutral,0.877229
429,3324,Neutral,0.7479145
430,3330,Neutral,0.7929939
431,3336,Neutral,0.7798238
432,3342,Neutral,0.6884043
433,3348,Neutral,0.5166437
434,3354,Neutral,0.5129387
435,3360,Happy,0.30217072
436,3366,Neutral,0.38979477
437,3372,Happy,0.4157679
438,3378,Surprise,0.23814787
439,3384,Surprise,0.2889278
440,3390,Neutral,0.6225531
441,3396,Neutral,0.74072045
442,3402,Neutral,0.79232764
443,3408,Neutral,0.44392446
444,3414,Neutral,0.7684257
445,3420,Neutral,0.62343144
446,3426,Neutral,0.40433815
447,3438,Neutral,0.4743794
448,3444,Neutral,0.42071125
449,3450,Neutral,0.5128762
450,3462,Neutral,0.80112576
451,3468,Neutral,0.8207561
452,3480,Neutral,0.7843006
453,3486,Neutral,0.7746455
454,3492,Neutral,0.7772492
455,3498,Neutral,0.7277427
456,3504,Neutral,0.81612945
457,3510,Neutral,0.795148
458,3516,Neutral,0.81532055
459,3522,Neutral,0.6678273
460,3540,Neutral,0.55101043
461,3546,Neutral,0.5316014
462,3552,Neutral,0.51293564
463,3558,Neutral,0.2916939
464,3582,Neutral,0.62930715
465,3594,Neutral,0.85151196
466,3600,Neutral,0.8080256
467,3606,Neutral,0.6902999
468,3672,Neutral,0.6418617
469,3678,Neutral,0.79151523
470,3684,Neutral,0.7416213
471,3690,Neutral,0.6919901
472,3696,Neutral,0.78846794
473,3702,Neutral,0.8053218
474,3708,Neutral,0.8238241
475,3714,Neutral,0.8183145
476,3720,Neutral,0.8042324
477,3726,Neutral,0.8727879
478,3732,Neutral,0.877108
479,3762,Angry,0.52748823
480,3774,Neutral,0.8322057
481,3780,Neutral,0.811938
482,3786,Neutral,0.82457834
483,3792,Neutral,0.7185554
484,3798,Neutral,0.5673034
485,3804,Neutral,0.45071647
486,3810,Neutral,0.36794168
487,3816,Neutral,0.48066837
488,3822,Happy,0.29399848
489,3828,Happy,0.42329833
490,3834,Happy,0.2656972
491,3840,Neutral,0.52270466
492,3858,Neutral,0.6912382
493,3876,Neutral,0.6758108
494,3882,Neutral,0.5516652
495,3888,Neutral,0.836497
496,3918,Neutral,0.61978674
497,3924,Neutral,0.70694727
498,3930,Neutral,0.83039343
499,3942,Neutral,0.5263315
500,3948,Neutral,0.6812363
501,3954,Happy,0.31467247
502,3990,Neutral,0.4620582
503,4038,Neutral,0.7742045
504,4044,Neutral,0.5336536
505,4050,Neutral,0.5724043
506,4062,Neutral,0.6354754
507,4110,Neutral,0.67058223
508,4116,Neutral,0.5292905
509,4122,Neutral,0.621284
510,4128,Happy,0.3977623
511,4134,Neutral,0.53035545
512,4140,Happy,0.44825116
513,4146,Neutral,0.51347953
514,4152,Neutral,0.7633315
515,4158,Neutral,0.72355443
516,4164,Neutral,0.77133405
517,4170,Neutral,0.58878094
518,4176,Neutral,0.5423186
519,4182,Neutral,0.4968362
520,4188,Neutral,0.6966535
521,4194,Neutral,0.81772065
522,4200,Neutral,0.57088625
523,4206,Neutral,0.6687458
524,4230,Neutral,0.53831077
525,4242,Neutral,0.846798
526,4248,Happy,0.45346636
527,4254,Happy,0.65201306
528,4266,Happy,0.8684059
529,4272,Happy,0.68991494
530,4290,Happy,0.8432742
531,4296,Happy,0.9389556
532,4302,Happy,0.87241095
533,4308,Neutral,0.63648796
534,4314,Neutral,0.80622536
535,4320,Neutral,0.68177396
536,4326,Happy,0.5249263
537,4332,Happy,0.5496299
538,4338,Happy,0.4762846
539,4344,Happy,0.5501845
540,4350,Happy,0.3327061
541,4356,Neutral,0.6932884
542,4362,Neutral,0.7178296
543,4374,Neutral,0.51392686
544,4386,Neutral,0.67516375
545,4392,Neutral,0.6817893
546,4398,Happy,0.60091484
547,4404,Neutral,0.6260504
548,4410,Neutral,0.85791606
549,4416,Neutral,0.44745538
550,4434,Neutral,0.48827145
551,4440,Neutral,0.69078654
552,4446,Neutral,0.5750509
553,4452,Happy,0.5744171
554,4470,Neutral,0.70236105
555,4476,Neutral,0.78576595
556,4482,Neutral,0.5467992
557,4488,Happy,0.65600824
558,4494,Happy,0.48382488
559,4500,Neutral,0.6090182
560,4506,Neutral,0.7254184
561,4518,Happy,0.8857984
562,4530,Happy,0.548856
563,4536,Neutral,0.7839951
564,4542,Neutral,0.5088962
565,4548,Happy,0.5652604
566,4554,Happy,0.6951214
567,4560,Happy,0.8351065
568,4566,Happy,0.77841043
569,4572,Happy,0.7143323
570,4578,Neutral,0.8614844
571,4584,Neutral,0.5551518
572,4590,Happy,0.72535
573,4596,Neutral,0.7936417
574,4602,Neutral,0.4797799
575,4608,Happy,0.5854589
576,4614,Neutral,0.898279
577,4620,Neutral,0.89128256
578,4626,Neutral,0.82281256
579,4632,Neutral,0.74741435
580,4644,Neutral,0.33555865
581,4650,Neutral,0.64292544
582,4656,Neutral,0.39523855
583,4668,Neutral,0.73911124
584,4674,Neutral,0.8459612
585,4680,Neutral,0.3231922
586,4686,Neutral,0.7246131
587,4692,Neutral,0.6614564
588,4722,Neutral,0.77755487
589,4728,Neutral,0.4898483
590,4734,Neutral,0.7694577
591,4740,Neutral,0.7759581
592,4746,Neutral,0.6367145
593,4752,Neutral,0.7596234
594,4758,Neutral,0.68366224
595,4782,Neutral,0.41587186
596,4788,Neutral,0.70797116
597,4794,Happy,0.4572617
598,4800,Neutral,0.7818026
599,4806,Neutral,0.7651193
600,4812,Neutral,0.45663035
601,4818,Neutral,0.80005294
602,4824,Neutral,0.83007723
603,4830,Happy,0.537346
604,4836,Happy,0.6887958
605,4854,Happy,0.66384834
606,4860,Neutral,0.5349878
607,4872,Happy,0.4555184
608,4878,Neutral,0.49548888
609,4890,Angry,0.32310995
610,4896,Angry,0.31465557
611,4902,Surprise,0.41606295
612,4908,Surprise,0.6699937
613,4926,Happy,0.72394645
614,4932,Neutral,0.42698732
615,4938,Surprise,0.40109745
616,4944,Neutral,0.6536581
617,4950,Neutral,0.46130544
618,4962,Happy,0.99206924
619,4968,Happy,0.9895922
620,4974,Neutral,0.61837643
621,4980,Neutral,0.62880164
622,4986,Neutral,0.64925283
623,4992,Neutral,0.81719434
624,4998,Neutral,0.8614625
625,5004,Neutral,0.8255242
626,5010,Neutral,0.68797153
627,5016,Neutral,0.8318709
628,5034,Neutral,0.7365772
629,5040,Neutral,0.59522474
630,5046,Neutral,0.48320824
631,5058,Neutral,0.6621253
632,5064,Neutral,0.38588294
633,5070,Neutral,0.5719659
634,5076,Neutral,0.7735605
635,5082,Neutral,0.60489565
636,5088,Neutral,0.4932637
637,5094,Neutral,0.54723865
638,5100,Neutral,0.4842244
639,5112,Neutral,0.6359733
640,5118,Neutral,0.7367662
641,5130,Neutral,0.64385366
642,5136,Neutral,0.60396034
643,5142,Neutral,0.68061614
644,5148,Neutral,0.69338745
645,5154,Neutral,0.63637733
646,5160,Neutral,0.74307066
647,5166,Neutral,0.6561055
648,5172,Neutral,0.54333335
649,5178,Neutral,0.56081945
650,5184,Surprise,0.32269368
651,5190,Neutral,0.40552512
652,5196,Neutral,0.6694873
653,5202,Neutral,0.5006559
654,5208,Neutral,0.61076933
655,5214,Neutral,0.60248816
656,5220,Neutral,0.5889209
657,5226,Neutral,0.5853007
658,5232,Neutral,0.4888051
659,5238,Neutral,0.32438326
660,5244,Neutral,0.24892744
661,5250,Neutral,0.52930784
662,5256,Neutral,0.5591341
663,5262,Neutral,0.7828095
664,5268,Neutral,0.7677914
665,5274,Neutral,0.73915976
666,5280,Neutral,0.44536126
667,5286,Neutral,0.5888597
668,5292,Neutral,0.80946803
669,5298,Neutral,0.7220672
670,5304,Neutral,0.6148195
671,5310,Neutral,0.5655904
672,5322,Neutral,0.50229603
673,5328,Neutral,0.56405604
674,5340,Sad,0.49026054
675,5346,Neutral,0.3811575
676,5352,Neutral,0.5496366
677,5358,Neutral,0.38698497
678,5370,Neutral,0.7733965
679,5376,Neutral,0.53797317
680,5382,Neutral,0.6255197
681,5388,Neutral,0.52297074
682,5400,Neutral,0.41706792
683,5406,Happy,0.24948087
684,5412,Happy,0.41841915
685,5418,Neutral,0.3765429
686,5424,Neutral,0.55359685
687,5430,Neutral,0.62564373
688,5436,Neutral,0.67830855
689,5442,Neutral,0.7622753
690,5448,Neutral,0.69363743
691,5454,Happy,0.48503307
692,5460,Happy,0.49123695
693,5466,Neutral,0.8031269
694,5472,Neutral,0.8697301
695,5478,Neutral,0.7938347
696,5490,Neutral,0.85167617
